TAB,label
"Timber-Yielding Plants of the Tamaulipan Thorn Scrub: Forest, Fodder, and Bioenergy Potential The current energy crisis generated growing interest for alternatives to fossil fuels, presenting lignocellulosic materials as promising resource for sustainable energy. Mexican scrubs represent important forest resources to satisfy the population's needs. There, forage potential was determined, to establish strategies for vegetation optimal use; forest potential, to assess biomass productivity; and bioenergy potential, to encourage new, promising, and integral use of this resource. Two locations were selected, experimental plantations and natural areas, where shrub coverage, timber volume, leaf biomass, litterfall, and chemical composition were determined. The data were statistically analyzed using SPSS program, applying Tukey's test. Native vegetation of E. ebano and A. berlandieri presented greater coverage value (19.68 m2/individual). The higher foliar biomass was recorded in summer (9029.322 kg ha(-1)) with E. ebano. The litterfall accumulated more in spring with A. berlandieri (273.73 kg ha(-1)) and A. wrightii (296.45 kg ha(-1)). The timber volume was greater in plantations (0.8287 m(3)/ha/year for H. parvifolia and 0.2740 m(3)/ha/year for E. ebano) than in native vegetation (0.1468 m(3)/ha/year for H. pallens, 0.1225 m(3)/ha/year for A. wrightii, and 0.1200 m(3)/ha/year for A. berlandieri). The inorganic elements varied in trunks (1.09-2.29%), branches (0.86-2.75%), twigs (4.26-6.76%), and leaves (5.77-11.79%), and the highest proportion occurred in Ca (57.03-95.53%), K (0.95-19.21%), and Mg (0.88-13.47%). The higher extractable contents (3.96-17.03%) were obtained in methanolic solvent. Lignin recorded ranks 28.78-35.84% (trunks), 17.14-31.39% (branches), and 20.61-29.92% (twigs). Calorific value ranks were 17.56-18.61 MJ kg(-1) (trunks), 17.15-18.45 MJ kg(-1) (branches), 17.29-17.92 MJ kg(-1) (twigs), and 17.35-19.36 MJ kg(-1) (leaves). Lignin showed moderately strong relationship (r = 0.66) with calorific value.",1
"Restoration: Success and Completion Criteria Restoration of a disturbed area entails restoring the land, so that the predisturbance conditions are replicated as closely as possible with all the area's environmental values intact. The term generally applies to the restoration of native ecosystems. Any project that aims to repair degraded land must have clear goals. This entry refers to success and completion criteria for restoration. It includes a case study of the restoration of a eucalyptus forest after mining to demonstrate the level of success and the completion criteria that have been used in a major project that is restoring around 500 ha of forest each year.",1
"Soil Carbon Sequestration: Ethiopia Sequestration of soil organic carbon (SOC) is vital to increase the SOC stock and quality, decrease soil erosion, and mitigate climate change. In this entry, we reviewed the level of soil degradation and the loss of SOC in Ethiopia. Results of studies on land use types are summarized to sort out those sound types that can potentially reverse the SOC loss in various ecosystems of the country. The SOC loss through soil erosion, deforestation, and land use change is estimated to be from 15 to 1000 kg ha(-1) yr(-1) in Ethiopia. Much of this loss in SOC can be attributed to reduced inputs of organic matter, increased decomposability of crop residues, and tillage effects that decrease the amount of physical protection to decomposition. The problem of SOC depletion in Ethiopia can be tackled through better management aimed at augmenting the normal function of the soils and SOC sequestration. Land use types such as native forest, grass land, plantation forest, agroforestry, and woodlands better protect the soil from severe erosion and augment the accrual of SOC. Restoration of severely degraded lands through area closure is good option to enhance SOC sequestration if it is practiced in areas where the soil depth class falls below 35 cm. We suggest that appropriate policy should be launched to safeguard very sloppy lands from cultivation. Along with biological and physical conservation measures, cow dung and crop residues should be returned to the cultivated crop fields to enhance the sequestration of SOC and sustain agricultural productivity.",1
"Village Bamboos It has been recognized that bamboos growing in the wild play an important role in soil nutrient buildup and maintenance of soil fertility. However, the cultivated one that has been managed by farmers in Asia over millennia for their livelihood was little studied with respect to its role in soil nutrient status. Therefore, the specific aim of this entry is to describe the usefulness of bamboo plantations to improve soil quality and sustain agronomic productivity. Field measurement of soil properties indicates soil bulk density decreases with an increase in age of bamboo plantation from 1.42 Mg m(-3) under 2-year-old plantations to 1.27 Mg m(-3) under 20-yr-old plantations with an overall decline of 11% in soil compactness. On the contrary, there is an increase in water holding capacity (30.3-41.5%), and of the concentration of soil organic carbon (SOC; 0.68-1.17%), total nitrogen (0.11-0.28%), available phosphorus (1.73-4.53 mg 100 g(-1)), and exchangeable potassium (0.20-0.67 cmol (+) kg(-1)) with an increase in plantation age by 37, 72, 155, 162, and 235%, respectively, from soil under 2-20-year-old plantation. The SOC stock and sequestration rate of village bamboo plantation to 10 cm depth range from 9.66 to 14.86 Mg ha(-1) and 0.14 to 0.39 Mg ha(-1) yr(-1), respectively. The increasing trend of nutrient and SOC stock suggests the potential of village bamboo management in restoring soil quality through onsite enrichment, conservation, and cycling of carbon and nutrients.",1
"Physical protection by soil aggregates stabilizes soil organic carbon under simulated N deposition in a subtropical forest of China Atmospheric N deposition has increased dramatically in China due to rapid industrial, agricultural, and urban development, greatly affecting carbon cycling. While C emissions may increase by elevated N deposition, limitation in the accessibility of substrates to decomposers within soil aggregates may dampen soil microbial activity, and thereby physically protect organic carbon from decomposition. In this study, we explore whether physical protection by soil aggregates could stabilize soil organic carbon, thereby dampening C loss rates. To do this, we applied additional nitrogen deposition of 0, 50, 100, 200 and 300 kg N ha(-1) year(-1) (3 replicate 10 m x 10 m plots of each) to a Schima plantation in southeast China. Several soil parameters and microbial biomass C and N in bulk soil, as well as in different soil aggregate size fractions (0.25-1 mm, 1-2 mm, 2-5 mm and 5-8 mm) were analyzed. With increasing N deposition, the total nitrogen (TN), electrical conductivity (EC) and NH4+-N increased, pH and C/N decreased, and soil organic carbon (SOC) did not change both in bulk soil and soil aggregates. In bulk soil, regression analysis revealed that simulated N deposition-led to a significant decrease in microbial biomass carbon (MBC) and an increase in microbial biomass nitrogen (MBN), while no alterations were observed for SOC, dissolved organic C (DOC) and hot-water extracted organic C (HWOC). In soil aggregates, regression analysis revealed that MBC in 0.25-1 mm aggregate size fraction and MBN in 1-2 mm and 5-8 mm aggregate size fractions significantly decreased with an increase of N deposition, while DOC in 0.25-1 mm and 2-5 mm aggregate size fractions significantly increased with increasing N deposition. No significant alterations in SOC and HWOC were observed with simulated N deposition for all aggregate size fractions. However, both DOC and HWOC in all aggregate size fractions were significantly greater compared to that of bulk soil. More specifically, MBN in soil aggregates were 61.79%-69.86% less than in bulk soil (p < 0.05), MBC in 1-2 mm, 25 mm and 5-8 mm aggregate size fractions was 20.69%, 15.74% and 1336% less than in bulk soil, respectively. Concentrations of DOC, HWOC and MBC/MBN in soil aggregates were 41.02%-66.40%, 91.30%-104.45% and 151.09%-165.22% greater than in bulk soil (p < 0.05), respectively. The ratios of DOC/SOC and HWOC/SOC in soil aggregates were 37.99%-86.03% and 80.51%-140.77% greater than bulk soil, respectively. These results demonstrated that physical protection by soil aggregates decreased microbial activity, which impeded SOC decomposition and resulted in higher DOC, HWOC concentrations and their proportions in SOC compared to bulk soil. However, as the levels of DOC and HWOC were very low compared to SOC, simulated N deposition did not impact SOC in the short time of this experiment. (C) 2016 Elsevier B.V. All rights reserved.",1
The Features of Natural and Artificial Recovery in Quarries of the Forest-Tundra Zone of Western Siberia The features of natural recovery and artificial restoration of quarries in northern regions of Western Siberia is analysed in this article. The effectiveness of restoration is compared with natural revegetation results. It is shown that the development of restoration projects requires a comprehensive consideration of environmental conditions. General recommendations for restoration of quarry areas are formulated.,1
"Ecological restoration of coal mine degraded lands using a grass -legume mixture a case study from India In India, coal deposit is locked under forest cover and more than 92% is extracted by surface mining that causes massive destruction of land and vegetation, alterations in landscape and aesthetics. Minesoils act as continuous source of pollution until they are reclaimed. Since last five decades, reclamation by tree plantation was the sole aim by the mining companies. From last decade only, it has been realized that degraded areas have to ecologically restore by developing three-tier canopy cover. In this paper, ecological restoration of coal mine overburden was under taken by using grass -legume seeds as an initial coloniser and observed that after 3 years overall increment of soil organic carbon was 80%. Available N was increased from 70 mg kg -1 to 225 mg kg -1 after 3 years. Available P and potassium also increased substantially. Cost of ecological restoration by using grass -legume mixture an initial coloniser and plantation of tree sapling (2500 nos/ha and maintenance for 3 years) comes to USD 11300 ha",1
"Soil Organic Carbon Sequestration Under Different Tropical Cover Types in Colombia Soils are important to the global carbon cycle because they store the largest pool of carbon of terrestrial ecosystems, part of which could be released to the atmosphere as a result of land use changes. This study assesses how soil organic carbon stocks differ as a function of soil depth and the tropical forest successional state. Soil shafts 4 m-deep were excavated in six primary forests (PF), six young secondary forests (SF, 6-12 year), and four pastures (PAS) plots located in a watershed of the Porce River in the Colombian Andes mountains. Soils were sampled from the four walls of each shaft using a progression of 14 depths between 0 and 4 m depth. Clay content, soil bulk density, and C content were determined at each depth. In order to understand the soil organic carbon (SOC) change in these cover types, we modeled the data using non-linear equations and found significant differences in carbon content (Mg C 100 Mg-1 soil; 1 Mg = 10(6) g) and carbon stocks (Mg ha-1) among cover types. The highest stocks of SOC to 4 m depth were found in soils of PF (227.9 Mg ha(-1)), followed by SF (192.5 Mg ha(-1)), and PAS (171.2 Mg ha(-1)). These results suggest that converting primary forests to degraded pastures over several decades leads to substantial losses of soil organic carbon. Development of secondary forests in the sites of abandoned pastures starts to recover soil carbon stocks at the early stages of forest development. Differences of soil organic carbon inventories between PF and PAS were only 11.5 Mg ha(-1) in the first 30 cm but 56.8 Mg ha(-1)down to 4 m. These results strongly support the need to assess the effects of land use change on SOC by sampling along the whole soil profile. Monitoring the superficial layers alone could yield misleading conclusions.",1
"Modelling of Carbon Sequestration in Rubber (Hevea brasiliensis) Plantations The issues of global warming and climate change have been widely debated over the past few decades by researchers, managers and leaders. It was estimated that the annual global air temperature may increase by approximately 2.5 degrees C by the end of the century (NAST 2000). In 1992, the United Nations Framework on Climate Change (UNFCCC) produced an international environmental treaty at the United Nations Conference on Environment and Development (UNCED), held in Rio de Janeiro, Brazil. The objective of the treaty was to stabilize greenhouse gas (GHG) concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system. Carbon dioxide (CO2) is one of GHGs that contributes the highest emission (Dulal and Akhbar 2013). Malaysia remains committed to climate change agenda and recently introduced a new national policy on climate change and green technology. The country has recently passed a renewable energy act and reaffirms its commitment to a pledge during Rio Earth Summit and signed the UNFCCC and currently listed into non-Annex 1 countries.",1
"Spatial variability in soil organic carbon in a tropical montane landscape: associations between soil organic carbon and land use, soil properties, vegetation, and topography vary across plot to landscape scales Presently, the lack of data on soil organic carbon (SOC) stocks in relation to land-use types and biophysical characteristics prevents reliable estimates of ecosystem carbon stocks in montane landscapes of mainland SE Asia. Our study, conducted in a 10 000 ha landscape in Xishuangbanna, SW China, aimed at assessing the spatial variability in SOC concentrations and stocks, as well as the relationships of SOC with land-use types, soil properties, vegetation characteristics and topographical attributes at three spatial scales: (1) land-use types within a landscape (10 000 ha), (2) sampling plots (1 ha) nested within land-use types (plot distances ranging between 0.5 and 12 km), and (3) subplots (10m radius) nested within sampling plots. We sampled 27 one-hectare plots -10 plots in mature forests, 11 plots in regenerating or highly disturbed forests, and 6 plots in open land including tea plantations and grasslands. We used a sampling design with a hierarchical structure. The landscape was first classified according to land-use types. Within each land-use type, sampling plots were randomly selected, and within each plot we sampled within nine subplots. SOC concentrations and stocks did not differ significantly across the four land-use types. However, within the open-land category, SOC concentrations and stocks in grasslands were higher than in tea plantations (P < 0.01 for 0-0.15 m, P = 0.05 for 0.15-0.30 m, P = 0.06 for 0-0.9m depth). The SOC stocks to a depth of 0.9m were 177.6 +/- 19.6 (SE) MgC ha(-1) in tea plantations, 199.5 +/- 14.8MgC ha(-1) in regenerating or highly disturbed forests, 228.6 +/- 19.7 MgC ha(-1) in mature forests, and 236.2 +/- 13.7 MgC ha(-1) in grasslands. In this montane landscape, variability within plots accounted for more than 50% of the overall variance in SOC stocks to a depth of 0.9 m and the topsoil SOC concentrations. The relationships of SOC concentrations and stocks with land-use types, soil properties, vegetation characteristics, and topographical attributes varied across spatial scales. Variability in SOC within plots was determined by litter layer carbon stocks (P < 0.01 for 0-0.15 m and P = 0.03 for 0.15-0.30 and 0-0.9 m depth) and slope (P <= 0.01 for 0-0.15, 0.15-0.30, and 0-0.9 m depth) in open land, and by litter layer carbon stocks (P < 0.001 for 0-0.15, 0.15-0.30 and 0-0.9 m depth) and tree basal area (P < 0.001 for 0-0.15 m and P = 0.01 for 0-0.9 m depth) in forests. Variability in SOC among plots in open land was related to the differences in SOC concentrations and stocks between grasslands and tea plantations. In forests, the variability in SOC among plots was associated with elevation (P < 0.01 for 0-0.15 m and P = 0.09 for 0-0.9 m depth). The scale-dependent relationships between SOC and its controlling factors demonstrate that studies that aim to investigate the land-use effects on SOC need an appropriate sampling design reflecting the controlling factors of SOC so that land-use effects will not be masked by the variability between and within sampling plots.",1
